nation,land
"대한민국",10044
"방글라데시",14757
"브루나이",577
"캄보디아",18104
"중국",960001
"키프로스",925
"인도",328726
"인도네시아",191691
"일본",37797
"라오스",23680
"말레이시아",33041
"몽골",156412
"미얀마",67659
"파키스탄",79610
"필리핀",30000
"싱가포르",73
"태국",51312
"베트남",33134
"오스트리아",8388
"벨기에",3069
"불가리아",11100
"체코",7887
"덴마크",4292
"에스토니아",4534
"핀란드",33847
"프랑스",54909
"독일",35760
"그리스",13196
"헝가리",9303
"아일랜드",7028
"이탈리아",30207
"라트비아",6459
"리투아니아",6529
"룩셈부르크",259
"몰타",32
"네덜란드",4154
"노르웨이",62450
"폴란드",31272
"포르투갈",9223
"루마니아",23840
"러시아",1709825
"슬로바키아",4903
"슬로베니아",2048
"스페인",50598
"스웨덴",52886
"스위스",4129
"영국",24361
"오스트레일리아",774122
"뉴질랜드",26771
